corpus	text	refind	label	description	class	relations	notes
cypgreek	jitros	0001	king	father of 0002	hum		
cypgreek	jitros	0002	son	son of 0001	hum		
cypgreek	jitros	0003	palace	of 0001	loc		
cypgreek	jitros	0004	servant		hum		
cypgreek	jitros	0005	mattress		inm		
cypgreek	jitros	0006	breakfast		inm		
cypgreek	jitros	0007	milk		mss		
cypgreek	jitros	0008	noon		tme		
cypgreek	jitros	0009	lunch		inm		
cypgreek	jitros	0010	night		tme		
cypgreek	jitros	0011	dinner		inm		
cypgreek	jitros	0012	queen	mother of 0002	hum		
cypgreek	jitros	0013	heart	of 0001	bdp	M 0001	
cypgreek	jitros	0014	staircase		loc		
cypgreek	jitros	0015	it		abs		
cypgreek	jitros	0016	workers		hum		
cypgreek	jitros	0017	builders		hum		
cypgreek	jitros	0018	tomorrow		tme		
cypgreek	jitros	0019	they		hum	> 0016, 0017	
cypgreek	jitros	0020	kingdom		loc		
cypgreek	jitros	0021	palace	for 0002	loc		
cypgreek	jitros	0022	fifteen days		tme		
cypgreek	jitros	0023	balconies		loc		
cypgreek	jitros	0024	terraces		loc		
cypgreek	jitros	0025	apple		inm		
cypgreek	jitros	0026	terrace	one of 0024	loc	M 0024	
cypgreek	jitros	0027	breakfast		inm		
cypgreek	jitros	0028	old woman		hum		
cypgreek	jitros	0029	pot		inm		
cypgreek	jitros	0030	fountain		loc		
cypgreek	jitros	0031	daughter	of Jitros of Jitromilos	hum		
cypgreek	jitros	0032	breakfast	second breakfast	inm		
cypgreek	jitros	0033	lunch	second lunch	inm		
cypgreek	jitros	0034	dinner	second dinner	inm		
cypgreek	jitros	0035	news		abs		
cypgreek	jitros	0036	messages		abs		
cypgreek	jitros	0037	horse	of 0002	anm		
cypgreek	jitros	0038	eyes	of 0039	bdp	M 0039	
cypgreek	jitros	0039	dragon		anm		
cypgreek	jitros	0040	three	of 0038	bdp	< 0038	
cypgreek	jitros	0041	one	first of 0040	bdp	< 0038, 0040	
cypgreek	jitros	0042	water	request by 0043	mss		depicted reality
cypgreek	jitros	0043	she	the first girl	hum		
cypgreek	jitros	0044	other one	second of 0040	bdp	< 0038, 0040	depicted reality
cypgreek	jitros	0045	two	of 0040	bdp	< 0038, 0040	depicted reality
cypgreek	jitros	0046	other one	the second girl	hum		
cypgreek	jitros	0047	water	request by 0046	mss		depicted reality
cypgreek	jitros	0048	reservoir		loc		
cypgreek	jitros	0049	her	third of 0040	inm	< 0038, 0040	
cypgreek	jitros	0050	water	request by 0051	mss		depicted reality
cypgreek	jitros	0051	she	the third girl	hum		
cypgreek	jitros	0052	back	of the horse	bdp	M 0037	
cypgreek	jitros	0053	wedding		inm		
cypgreek	jitros	0054	dowry		inm		
cypgreek	jitros	0055	things		inm		
cypgreek	jitros	0056	queen	mother of 0002	hum		depicted reality
cypgreek	jitros	0057	us	parents of 0002	hum	> 0001, 0012	depicted reality
cypgreek	jitros	0058	doctor		hum		depicted reality
cypgreek	jitros	0059	we	queen and son	hum	> 0002, 0012	depicted reality
cypgreek	jitros	0060	food		mss		depicted reality
cypgreek	jitros	0061	other son	son of 0062	hum		depicted reality
cypgreek	jitros	0062	other king	father 0061	hum		depicted reality
cypgreek	jitros	0063	palace	of 0061	loc		depicted reality
cypgreek	jitros	0064	balcony	of 0061	loc		depicted reality
cypgreek	jitros	0065	terrace	of 0061	loc		depicted reality
cypgreek	jitros	0066	golden apple	of 0061	inm		depicted reality
cypgreek	jitros	0067	sword	of 0061	inm		depicted reality
cypgreek	jitros	0068	bible	of 0061	inm		depicted reality
cypgreek	jitros	0069	home	of 0028	loc		depicted reality
cypgreek	jitros	0070	daughter	of Jitros of Jitromilos	hum		depicted reality
cypgreek	jitros	0071	headache		inm		depicted reality
cypgreek	jitros	0072	fiancée		hum		depicted reality
cypgreek	jitros	0073	head	of 0002	bdp	M 0002	depicted reality
cypgreek	jitros	0074	village		loc		depicted reality
cypgreek	jitros	0075	reservoir		loc		depicted reality
cypgreek	jitros	0076	bitter orange tree		inm		depicted reality
cypgreek	jitros	0077	dragon		anm		depicted reality
cypgreek	jitros	0078	horse	of 0002	anm		depicted reality
cypgreek	jitros	0079	eyes	of 0077	bdp	M 0077	depicted reality
cypgreek	jitros	0080	three	of 0079	bdp	< 0079	depicted reality
cypgreek	jitros	0081	one	first of 0080	bdp	< 0079, 0080	depicted reality
cypgreek	jitros	0082	girl	the first girl	hum		depicted reality
cypgreek	jitros	0083	water	request by 0082	mss		depicted reality
cypgreek	jitros	0084	other one	second of 0080	bdp	< 0079, 0080	depicted reality
cypgreek	jitros	0085	other one	third of 0080	bdp	< 0079, 0080	depicted reality
cypgreek	jitros	0086	water	request by the third girl	mss		depicted reality
cypgreek	jitros	0087	dowry		inm		depicted reality
cypgreek	jitros	0088	furniture		inm		depicted reality
cypgreek	jitros	0089	breakfast		inm		
cypgreek	minaes	0001	rich sister		hum		
cypgreek	minaes	0002	poor sister		hum		
cypgreek	minaes	0003	three children	three children of the poor sister	hum		children of 002
cypgreek	minaes	0004	girl	daughter of the poor sister	hum	< 0003	
cypgreek	minaes	0005	two boys	two sons of the poor sister	hum	< 0003	
cypgreek	minaes	0006	girl	daughter of the rich sister	hum		child of 001
cypgreek	minaes	0007	bread	made by the poor sister for the rich sister	mss		
cypgreek	minaes	0008	hands	of the poor sister	bdp	M 0002	
cypgreek	minaes	0009	dough	of the kneaded bread	mss		
cypgreek	minaes	0010	handkerchief		inm		
cypgreek	minaes	0011	korn'axtos		inm		
cypgreek	minaes	0012	apron		inm		
cypgreek	minaes	0013	flour		mss		
cypgreek	minaes	0014	ghruta		mss		
cypgreek	minaes	0015	it	the food the poor sister makes from the rest of the kneaded bread	mss		
cypgreek	minaes	0016	they	the rich sister and her best woman	hum	> 0001, 0023	
cypgreek	minaes	0017	milk		mss		depicted reality
cypgreek	minaes	0018	tea		mss		depicted reality
cypgreek	minaes	0019	kebab		inm		depicted reality
cypgreek	minaes	0020	dust		mss		depicted reality
cypgreek	minaes	0021	feet	of the poor sister	bdp	M 0002	depicted reality
cypgreek	minaes	0022	headscarf		inm		depicted reality
cypgreek	minaes	0023	best woman	of the rich sister	hum		
cypgreek	minaes	0024	home	of the poor sister	loc		
cypgreek	minaes	0025	fate		abs		depicted reality
cypgreek	minaes	0026	home		loc		depicted reality
cypgreek	minaes	0027	job		inm		depicted reality
cypgreek	minaes	0028	house		loc		depicted reality
cypgreek	minaes	0029	neighbour woman	of the poor sister	hum		
cypgreek	minaes	0030	bread	for the poor sister and her children	inm		
cypgreek	minaes	0031	tent	found by poor sister	loc		
cypgreek	minaes	0032	they	people living in the tent	hum		
cypgreek	minaes	0033	pie	for poor sister from 032	inm		
cypgreek	minaes	0034	olives	for poor sister from 032	inm		
cypgreek	minaes	0035	it	pie and olives	inm	> 0033, 0034	
cypgreek	minaes	0036	bed		inm		depicted reality
cypgreek	minaes	0037	neighbour woman		hum		depicted reality
cypgreek	minaes	0038	we	mother and her children	hum	> 0002, 0003	depicted reality
cypgreek	minaes	0039	bread		inm		depicted reality
cypgreek	minaes	0040	pie	for the poor sister's children	inm		depicted reality
cypgreek	minaes	0041	olives	for the poor sister's children	inm		depicted reality
cypgreek	minaes	0042	January		tme		depicted reality
cypgreek	minaes	0043	grass		mss		depicted reality
cypgreek	minaes	0044	he	one of the 12 men in the tent	hum	< 0032	
cypgreek	minaes	0045	February		tme		depicted reality
cypgreek	minaes	0046	March		tme		depicted reality
cypgreek	minaes	0047	bread		mss		depicted reality
cypgreek	minaes	0048	wind		mss		depicted reality
cypgreek	minaes	0049	he	one of the 12 men in the tent	hum	< 0032	
cypgreek	minaes	0050	breads	some of the bread that the poor sister makes is sold by the rich sister	mss	M 0007	
cypgreek	minaes	0051	bread	part of the bread that the poor sister makes and that is not given to her	mss	M 0007	
cypgreek	minaes	0052	three pies	three pies for the poor sister and her children	inm		
cypgreek	minaes	0053	nine olives	nine olives for the poor sister and her children	inm		
cypgreek	minaes	0054	box	box full of gold coins for the poor sister and her children	inm		
cypgreek	minaes	0055	little piece	of the pies	inm	M 0052	
cypgreek	minaes	0056	olive	one olive for the poor sister	inm	M 0053	
cypgreek	minaes	0057	they	the poor sister and her children	hum	> 0002, 0003	
cypgreek	minaes	0058	three	repentances	abs		
cypgreek	minaes	0059	ten	repentances	abs		
cypgreek	minaes	0060	bread	from the neighbor woman	inm		
cypgreek	minaes	0061	wheat	three kilos wheat from the neighbor woman	inm		
cypgreek	minaes	0062	bags	in poor sister's home	inm		
cypgreek	minaes	0063	night		tme		
cypgreek	minaes	0064	box	for the rich sister	inm		
cypgreek	minaes	0065	morning	the morning when the rich sister opens the box	tme		
cypgreek	minaes	0066	house	other house where the rich sister opens the box	loc		
cypgreek	minaes	0067	snakes	coming out of the box	anm		
cypgreek	minaes	0068	monsters	coming out of the box	anm		
cypgreek	minaes	0069	coin snakes	coming out of the box	anm		
cypgreek	minaes	0070	they	snakes, monsters and coin snakes out of the box	anm	> 0067, 0068, 0069	
cypgreek	minaes	0071	seeds		mss		depicted reality
cypgreek	minaes	0072	April		tme		depicted reality
cypgreek	minaes	0073	May		tme		depicted reality
cypgreek	minaes	0074	apricots		inm		depicted reality
cypgreek	minaes	0075	cucumbers		inm		depicted reality
cypgreek	minaes	0076	courgettes		inm		depicted reality
cypgreek	minaes	0077	foods	fresh foods	inm		depicted reality
cypgreek	minaes	0078	June		tme		depicted reality
cypgreek	minaes	0079	figs		inm		depicted reality
cypgreek	minaes	0080	grapes		inm		depicted reality
cypgreek	minaes	0081	July		tme		depicted reality
cypgreek	minaes	0082	prickly pears		inm		depicted reality
cypgreek	minaes	0083	watermelons		inm		depicted reality
cypgreek	minaes	0084	August		tme		depicted reality
cypgreek	minaes	0085	October		tme		depicted reality
cypgreek	minaes	0086	November		tme		depicted reality
cypgreek	minaes	0087	December		tme		depicted reality
cypgreek	minaes	0088	months		tme	> 0045, 0046, 0072, 0042, 0081, 0078, 0073, 0087, 0086, 0085, 0084	depicted reality
cypgreek	minaes	0089	repentances		inm		depicted reality
cypgreek	minaes	0090	pillow		inm		depicted reality
cypgreek	minaes	0091	breads	for the children	inm		depicted reality
cypgreek	minaes	0092	it	some of the pies and olives	inm	M 0052, 0053	depicted reality
cypgreek	minaes	0093	fate		abs		depicted reality
cypgreek	minaes	0094	ten	repentances	inm		depicted reality
cypgreek	minaes	0095	money		inm		depicted reality
cypgreek	minaes	0096	bread		inm		depicted reality
cypgreek	minaes	0097	wheat		mss		depicted reality
cypgreek	minaes	0098	kilos	of wheat	inm		depicted reality
cypgreek	minaes	0090	money	for the wheat and the bread	inm		depicted reality
cypgreek	minaes	0091	money	rich sister's money	inm		depicted reality
cypgreek	minaes	0092	scarf		inm		depicted reality
cypgreek	minaes	0093	head	of the poor sister	bdp	M 0002	depicted reality
cypgreek	minaes	0094	legs	of the poor sister	bdp	M 0002	depicted reality
cypgreek	minaes	0095	son	one of the two sons	hum	< 0005	depicted reality
cypgreek	minaes	0096	desks	six desks	inm		depicted reality
cypgreek	minaes	0097	house	of the rich sister	loc		depicted reality
cypgreek	minaes	0098	morning	the mornings in March	tme		depicted reality
cypgreek	minaes	0099	donkey		anm		depicted reality
cypgreek	minaes	0100	noon	in March	tme		depicted reality
cypgreek	minaes	0101	heat	in March	inm		depicted reality
cypgreek	minaes	0102	heat	in April	inm		depicted reality
cypgreek	minaes	0103	sweat		mss		depicted reality
cypgreek	minaes	0104	month		inm		depicted reality
cypgreek	minaes	0105	pillow	of the rich sister	inm		depicted reality
cypgreek	minaes	0106	morning		tme		depicted reality
cypgreek	minaes	0107	husband	rich sister's husband	hum		depicted reality
cypgreek	minaes	0108	house	other house where the rich sister opens the box	loc		depicted reality
cypgreek	minaes	0109	fate	rich sister's fate	abs		depicted reality
cypgreek	psarin	0001	kojakarin	old woman, mother of 0002	hum		
cypgreek	psarin	0002	yon	son of 0001	hum		
cypgreek	psarin	0003	they	old woman and her son	hum	> 0002, 0001	
cypgreek	psarin	0004	ta	the nets for fishing	inm		
cypgreek	psarin	0005	arseran	skylight; place where 0004 are stored	loc		
cypgreek	psarin	0006	kofinan	big basket that the son fills with fish	inm		
cypgreek	psarin	0007	village	village in which the old woman and her son live	loc		
cypgreek	psarin	0008	kavenen	coffee shop where he sells the fishes	loc		
cypgreek	psarin	0009	fish	the fishes he caught	mss		
cypgreek	psarin	0010	rial'a	coins that he gets for selling the fishes	inm		
cypgreek	psarin	0011	akran	edge of the beach	loc		
cypgreek	psarin	0012	psarin	a big fish	anm		
cypgreek	psarin	0013	kark'an	heart of the big fish	bdp	M 0012	
cypgreek	psarin	0014	xanappin	vessel found in the big fish	inm		
cypgreek	psarin	0015	yemata	blood on the vessel	mss		
cypgreek	psarin	0016	neron	water used to wash the vessel	mss		
cypgreek	psarin	0017	lires	pounds from the vessel	mss		
cypgreek	psarin	0018	krasin	wine	mss		
cypgreek	psarin	0019	kandilan	glass	inm		
cypgreek	psarin	0020	tavlin	table	inm		
cypgreek	psarin	0021	lires	pounds from the wine	mss		
cypgreek	psarin	0022	ghon'an	corner	loc		
cypgreek	psarin	0023	lires	pounds filling a corner of the house	mss		
cypgreek	psarin	0024	xorkon	village the son goes to	loc		
cypgreek	psarin	0025	xorkon	other village the son goes to	loc		
cypgreek	psarin	0026	kambon	a barren field	loc		
cypgreek	psarin	0027	palatin	royal palace	loc		
cypgreek	psarin	0028	kori	daughter of 0029	hum		
cypgreek	psarin	0029	vasilia	king, father of 0028	hum		
cypgreek	psarin	0030	yallokluvin	glass cage	inm		
cypgreek	psarin	0031	dhules	two servants	hum		
cypgreek	psarin	0032	fundanan	fountain in the royal palace	loc		
cypgreek	psarin	0033	kuzes	clay pots	inm		
cypgreek	psarin	0034	mairas	the cook	hum		
cypgreek	psarin	0035	them	the old woman's son and the king's daughter	hum	> 0002, 0028	
cypgreek	psarin	0036	things	things to cook and eat for 0035	inm		
cypgreek	psarin	0037	queen	the queen, mother of 0028	hum		
cypgreek	psarin	0038	up here	location of the glass cage	loc		
cypgreek	psarin	0039	they	queen and cook	hum	> 0037, 0034	
cypgreek	psarin	0040	kapriolen	cabriolet	inm		
cypgreek	psarin	0041	they	king and queen	hum	> 0029, 0037	
cypgreek	psarin	0042	dhodhekadhas	dozen	hum		
cypgreek	psarin	0043	my man		hum		depicted reality
cypgreek	psarin	0044	my	woman from the village	hum		depicted reality
cypgreek	psarin	0045	month	time to recover for 043	tme		depicted reality
cypgreek	psarin	0046	pelekanus	carpenters	hum		
cypgreek	psarin	0047	spitin	house for the princess	inm		
cypgreek	psarin	0048	psumnia	bread for the princess	mss		
cypgreek	psarin	0049	nera	water for the princess	mss		
cypgreek	psarin	0050	faya	food for the princess	mss		
cypgreek	psarin	0051	ruxa	clothes for the princess	mss		
cypgreek	psarin	0052	jimman	wave	mss		
cypgreek	psarin	0053	yon	son of 0028	hum		
cypgreek	psarin	0054	konajin	villa the young man builds	loc		
cypgreek	psarin	0055	lires	pounds from the vessel used to build the villa	mss		
cypgreek	psarin	0056	strata	road to the villa	loc		
cypgreek	psarin	0057	veziris	vizier	hum		
cypgreek	psarin	0058	vezirena	wife of vizier	hum		
cypgreek	psarin	0059	they	the king, the queen, the vizier and his wife	hum	> 0057, 0058, 0029, 0037	
cypgreek	psarin	0060	trapezha	tables in the villa	inm		
cypgreek	psarin	0061	pinn'an	drink	inm		
cypgreek	psarin	0062	spitin	other house	loc		
cypgreek	psarin	0063	ghamon	wedding	inm		
cypgreek	psarin	0064	I	the person telling the story	hum		
cypgreek	psarin	0065	we	people from the village	hum		depicted reality
cypgreek	psarin	0066	father	of 0002	hum		depicted reality
cypgreek	psarin	0067	work	that the father did	inm		depicted reality
cypgreek	psarin	0068	nets	to go fishing	inm		depicted reality
cypgreek	psarin	0069	skylight	place where the nets are	loc		depicted reality
cypgreek	psarin	0070	morning	the son goes fishing early in the morning	tme		
cypgreek	psarin	0071	many	fish for his mother to cook and eat	mss		
cypgreek	psarin	0072	punga	son's pocket	inm		depicted reality
cypgreek	psarin	0073	morning		tme		depicted reality
cypgreek	psarin	0074	wine		mss		depicted reality
cypgreek	psarin	0075	tablecloth		inm		depicted reality
cypgreek	psarin	0076	house	of the old woman	loc		
cypgreek	psarin	0077	neron		mss		depicted reality
cypgreek	psarin	0078	it	the water in his vessel	mss		
cypgreek	psarin	0079	lires	the coins from the vessel	mss		depicted reality
cypgreek	psarin	0080	them	the coins from the vessel	mss		depicted reality
cypgreek	psarin	0081	queen	mother of girl	hum		depicted reality
cypgreek	psarin	0082	lires	punds	mss		depicted reality
cypgreek	psarin	0083	us		hum		depicted reality
cypgreek	psarin	0084	nights	three nights	tme		depicted reality
cypgreek	psarin	0085	nights	three nights	tme		
cypgreek	psarin	0086	we	the girl and the son	hum	> 0002, 0028	depicted reality
cypgreek	psarin	0087	cabriolet		inm		depicted reality
cypgreek	psarin	0088	dozen		hum		depicted reality
cypgreek	psarin	0089	we		hum		depicted reality
cypgreek	psarin	0090	babies	two babies	hum		depicted reality
cypgreek	psarin	0091	box		inm		depicted reality
cypgreek	psarin	0092	news	from the village	abstract		depicted reality
cypgreek	psarin	0093	party		inm		depicted reality
cypgreek	psarin	0094	tablecloths		inm		depicted reality
cypgreek	psarin	0095	one	one of the visitors	hum	< 0059	depicted reality
cypgreek	psarin	0096	we		hum		depicted reality
cypgreek	psarin	0097	kolon	ass	bdp		depicted reality
sanzhi	asabali	0000	people		hum		
sanzhi	asabali	0001	the war		abs		
sanzhi	asabali	0002	years of 0001		tmp		
sanzhi	asabali	0003	speaker		hum		
sanzhi	asabali	0004	name of 0003		abs	M 0003	
sanzhi	asabali	0005	record book		inm		
sanzhi	asabali	0006	village head		hum		
sanzhi	asabali	0007	the year 1953		tmp		
sanzhi	asabali	0008	Stalin		hum		
sanzhi	asabali	0009	cars		inm		
sanzhi	asabali	0010	trains		inm		
sanzhi	asabali	0011	mountains		loc		
sanzhi	asabali	0012	sound of 0010		inm		
sanzhi	asabali	0013	there		loc		
sanzhi	asabali	0014	sheep		anm		
sanzhi	asabali	0015	kolkhoz		abs		
sanzhi	asabali	0016	army		abs		
sanzhi	asabali	0017	enlistment office		inm		
sanzhi	asabali	0018	application		inm		
sanzhi	asabali	0019	train		inm		
sanzhi	asabali	0020	army officials		hum		
sanzhi	asabali	0021	0003 and other recruits		hum	> 0003	
sanzhi	asabali	0022	Voronezh		loc		
sanzhi	asabali	0023	a captain		hum		
sanzhi	asabali	0024	soldiers		hum		
sanzhi	asabali	0025	hospital		inm		
sanzhi	asabali	0026	a corridor in 0025		loc		
sanzhi	asabali	0027	commissariat		loc		
sanzhi	asabali	0028	Dargi people		hum	< 0021	
sanzhi	asabali	0029	canteen		loc		
sanzhi	asabali	0030	porridge		mss		
sanzhi	asabali	0031	half of 0030		mss	M 0030	
sanzhi	asabali	0032	other half of 0030		mss	M 0030	
sanzhi	asabali	0033	eyes of 0003		bdp	M 0003	
sanzhi	asabali	0034	a train		inm		
sanzhi	asabali	0035	army officials		hum	> 0023	
sanzhi	asabali	0036	Kursk		loc		
sanzhi	asabali	0037	Kursk station		loc		
sanzhi	asabali	0038	car of 0035		inm		
sanzhi	asabali	0039	barracks		loc		
sanzhi	asabali	0040	the Russian language		abs		
sanzhi	asabali	0041	people		hum		
sanzhi	asabali	0042	guardhouse		inm		
sanzhi	asabali	0043	guard company		hum		
sanzhi	asabali	0044	people		hum		
sanzhi	asabali	0045	mine		loc		
sanzhi	asabali	0046	volunteers		hum		
sanzhi	asabali	0047	mother of 0003		hum		
sanzhi	asabali	0048	miners		hum	> 0003, 0044	
sanzhi	asabali	0049	three Daghestani		hum	> 0003; < 0044	
sanzhi	asabali	0050	two Russians		hum	< 0044	
sanzhi	asabali	0051	finger of 0003		bdp	M 0003	
sanzhi	asabali	0052	an engine		inm		
sanzhi	asabali	0053	hospital		inm		
sanzhi	asabali	0054	home of 0003		loc		
